property_type,site_improvement,current_use,latitude,longitude,provice_city,district_khan,commune_sangkat,land_width,land_length,land_area_by_title_deed,topography,site_position,unit_type,building_name,width,length,no_of_storey,total_bedroom,total_bathroom,total,per_sqm,updated_sync_modify
Land,,,13.36538025,103.8606882,,Siem Reap City,,56,62,,,Corner,,,,,0,0,0,1575000,450,
Hotel/Resort,,,13.36537961,103.8606723,,Siem Reap City,,23,50,,,Middle,,,,,4,45,48,4000000,4000000,
Land,,,13.36537011,103.8606841,,Siem Reap City,,16,20,,,Middle,,,,,0,0,0,54400,170,
Land,,,13.38333848,103.8550495,,Siem Reap City,,50,22,,,,,,,,0,8,0,595000,595000,
House/Villa,,,13.36429579,103.9442752,,Prasat Bakong,,4,8,,,,,,,,3,2,2,88000,88000,
Hotel/Resort,,,13.36537922,103.8606949,,Siem Reap City,,40,29,,,Corner,,,,,2,6,8,535000,535000,
House/Villa,,,13.36536679,103.8606745,,Siem Reap City,,8,26,,,Middle,,,,,2,4,4,102000,102000,
House/Villa,,,13.36536237,103.8606912,,Siem Reap City,,6,16,,,Middle,,,,,3,3,3,89900,89900,
Land,,,13.36538441,103.860684,,Siem Reap City,,25,40,,,Corner,,,,,0,0,0,680000,680,
Shophouse/Commercial,,,13.3653786,103.8606979,,Siem Reap City,,9,7,,,Middle,,,,,2,2,1,1000,1000,
Land,,,13.36454785,103.8278769,,Siem Reap City,,10,23,,,,,,,,0,0,0,44850,195,
Land,,,13.36524257,103.8605615,,Siem Reap City,,35,45,,,Middle,,,,,0,0,0,353700,180,
House/Villa,,,13.36537799,103.8607003,,Siem Reap City,,5,16,,,Middle,,,,,2,2,3,75000,75000,
House/Villa,,,13.36535204,103.8606921,,Siem Reap City,,10,25,,,Middle,,,,,0,2,2,123000,123000,
Land,,,13.3653726,103.8606999,,Siem Reap City,,20,50,,,Middle,,,,,0,0,0,153450,155,
House/Villa,,,13.36538184,103.8606566,,Siem Reap City,,10,26,,,Middle,,,,,0,2,2,68000,68000,
Hotel/Resort,,,13.36537688,103.8606835,,Siem Reap City,,30,31,,,Corner,,,,,3,29,26,2300000,2300000,
Land,,,13.36536094,103.8607034,,Siem Reap City,,70,40,,,Middle,,,,,0,0,0,308000,110,
Land,,,13.36536342,103.8606875,,Siem Reap City,,21,27,,,Middle,,,,,0,0,0,89019,157,
House/Villa,,,13.36536748,103.860675,,Siem Reap City,,12,25,,,Middle,,,,,0,2,3,400,400,
House/Villa,,,13.36524388,103.8605671,,Siem Reap City,,20,50,,,Middle,,,,,2,4,6,339000,339000,
Land,,,13.35125298,103.8615911,,Siem Reap City,,22,150,,,,,,,,0,0,0,5242100,380,
House/Villa,,,11.45224315,104.9065805,,Dangkao,,6,18,,,,,,,,0,0,0,200000,200000,
Hotel/Resort,,,13.36536474,103.8607132,,Siem Reap City,,16,29,,,Corner,,,,,2,12,13,380000,380000,
House/Villa,,,13.36537318,103.8606747,,Siem Reap City,,10,22,,,Middle,,,,,2,3,4,900,900,
Shophouse/Commercial,,,13.36536459,103.8606814,,Siem Reap City,,10,26,,,Middle,,,,,2,3,4,680000,680000,
Land,,,13.36537554,103.8606801,,Siem Reap City,,25,25,,,Middle,,,,,0,0,0,156250,250,
Hotel/Resort,,,13.36537378,103.8606742,,Siem Reap City,,20,30,,,Middle,,,,,3,25,27,850000,850000,
House/Villa,,,13.36536733,103.8606954,,Siem Reap City,,30,40,,,Middle,,,,,0,8,10,1200000,1200000,
Land,,,13.3653653,103.8606916,,Siem Reap City,,36,116,,,Middle,,,,,0,0,0,1500000,1500000,
Condo/Apartment,,,13.36538152,103.8606888,,Siem Reap City,,15,32,,,Middle,,,,,2,7,8,350000,350000,
Hotel/Resort,,,13.36536338,103.860699,,Siem Reap City,,30,40,,,Middle,,,,,2,22,21,1200000,1200000,
Land,,,13.36521639,103.8605778,,Siem Reap City,,44,66,,,Middle,,,,,0,0,0,1916240,680,
Land,,,13.36536825,103.860704,,Siem Reap City,,12,48,,,Middle,,,,,0,0,0,44700,75,
House/Villa,,,13.36535926,103.8606772,,Siem Reap City,,9,20,,,Middle,,,,,0,3,3,135000,135000,
House/Villa,,,13.3653545,103.8606807,,Siem Reap City,,10,20,,,Middle,,,,,2,3,4,130000,130000,
Land,,,13.36535687,103.860705,,Siem Reap City,,12,40,,,Corner,,,,,0,0,0,120000,250,
Hotel/Resort,,,13.36536501,103.8606871,,Siem Reap City,,15,30,,,Middle,,,,,2,7,8,450000,450000,
House/Villa,,,13.36536325,103.860638,,Siem Reap City,,5,20,,,Middle,,,,,2,2,3,93800,93800,
Land,,,13.28690108,104.0274267,,Prasat Bakong,,135,54,,,Middle,,,,,0,0,0,98555,23,
House/Villa,,,13.36524444,103.8605841,,Siem Reap City,,6,20,,,Middle,,,,,2,2,3,63000,63000,
Shophouse/Commercial,,,13.36536676,103.8607147,,Siem Reap City,,4,20,,,Middle,,,,,3,4,5,156000,156000,
House/Villa,,,13.36535548,103.8606949,,Siem Reap City,,12,16,,,Middle,,,,,0,2,2,120000,120000,
Land,,,13.36535819,103.8606789,,Siem Reap City,,104,120,,,Corner,,,,,0,0,0,1328080,130,
House/Villa,,,13.36536493,103.8606605,,Siem Reap City,,4,18,,,Middle,,,,,3,4,5,100000,100000,
House/Villa,,,13.36525106,103.8606005,,Siem Reap City,,8,23,,,Middle,,,,,2,2,3,89000,89000,
Hotel/Resort,,,13.36535994,103.8606926,,Siem Reap City,,23,30,,,Middle,,,,,2,10,12,850000,850000,
Land,,,13.38559557,103.8704255,,Siem Reap City,,42,138,,,Middle,,,,,0,0,0,2002350,350,
House/Villa,,,13.36535596,103.8606719,,Siem Reap City,,8,14,,,Corner,,,,,0,2,3,450,450,
Land,,,13.36174658,103.8421696,,Siem Reap City,,22,32,,,Corner,,,,,0,0,0,707850,990,
Land,,,13.36535894,103.8607026,,Siem Reap City,,27,43,,,Middle,,,,,0,0,0,302680,280,
House/Villa,,,13.36536386,103.8606929,,Siem Reap City,,10,22,,,Middle,,,,,2,3,4,900,900,
